Date,A2A,CPR,ENEL,ENI,G,ISP,LDO,MB,MONC,PIRC,PRY,PST,SPM,TEN,TIT,TRN,UCG
2004-01-01 00:00:00+00:00,0.5651947855949402,0.7527040243148804,1.2283244132995605,4.2525506019592285,9.164811134338379,1.028645634651184,,3.966996431350708,,,,,16.534713745117188,1.4127768278121948,1.3489093780517578,,64.0643539428711
2004-01-02 00:00:00+00:00,0.5809159278869629,0.7566139698028564,1.244276762008667,4.377623558044434,8.45067024230957,0.9902932643890381,,3.804450273513794,,,,,16.94743537902832,1.4154630899429321,1.3976994752883911,,65.26182556152344
2004-01-05 00:00:00+00:00,0.5732471942901611,0.7624792456626892,1.2647868394851685,4.397522926330566,8.52208423614502,0.9744740128517151,,3.8220231533050537,,,,,16.79266929626465,1.4852961301803589,1.4120498895645142,,65.56120300292969
2004-01-06 00:00:00+00:00,0.5763146877288818,0.7615017890930176,1.2761811017990112,4.377623558044434,8.526050567626953,0.9776372313499451,,3.830808639526367,,,,,16.844255447387695,1.5900453329086304,1.4493598937988281,,65.56120300292969
2004-01-07 00:00:00+00:00,0.5636610984802246,0.7585691809654236,1.2647868394851685,4.244021415710449,8.526050567626953,0.9111960530281067,,3.8220231533050537,,,,,16.483121871948242,1.5202124118804932,1.4493598937988281,,64.0643539428711
2004-01-08 00:00:00+00:00,0.5747809410095215,0.7429284453392029,1.2647868394851685,4.261076927185059,8.470504760742188,0.9649819731712341,,3.870346784591675,,,,,16.225168228149414,1.52826988697052,1.4809300899505615,,64.21405029296875
2004-01-09 00:00:00+00:00,0.5801490545272827,0.7405824661254883,1.2556706666946411,4.190012454986572,8.44670295715332,0.9934570789337158,,3.8791332244873047,,,,,16.379941940307617,1.5094687938690186,1.4579700231552124,,63.914676666259766
2004-01-12 00:00:00+00:00,0.5943365693092346,0.7487937211990356,1.2716233730316162,4.190012454986572,8.434800148010254,0.9649819731712341,,3.8571677207946777,,,,,16.225168228149414,1.4503792524337769,1.4809300899505615,,64.0643539428711
2004-01-13 00:00:00+00:00,0.5866675972938538,0.7439060807228088,1.2761811017990112,4.226966857910156,8.478442192077637,0.9111960530281067,,3.8923134803771973,,,,,16.379941940307617,1.4342639446258545,1.4895402193069458,,63.46562957763672
2004-01-14 00:00:00+00:00,0.5962536334991455,0.7478160858154297,1.2989702224731445,4.187170505523682,8.561758995056152,0.9554905295372009,,3.927457571029663,,,,,16.328350067138672,1.4503792524337769,1.5010205507278442,,63.61532211303711
2004-01-15 00:00:00+00:00,0.588584840297699,0.7282654643058777,1.2921332120895386,4.218437671661377,8.649042129516602,0.9649819731712341,,3.988962411880493,,,,,15.993013381958008,1.4288921356201172,1.5010205507278442,,63.315940856933594
2004-01-16 00:00:00+00:00,0.5828331708908081,0.733153223991394,1.2875754833221436,4.218437671661377,8.819643020629883,0.987129271030426,,4.085610866546631,,,,,15.993013381958008,1.4503792524337769,1.4809300899505615,,64.0643539428711
2004-01-19 00:00:00+00:00,0.5905020236968994,0.730025053024292,1.2966910600662231,4.27244758605957,8.8593168258667,1.0092765092849731,,4.054859638214111,,,,,16.302560806274414,1.4503792524337769,1.4809300899505615,,64.5134048461914
2004-01-20 00:00:00+00:00,0.5809159278869629,0.733153223991394,1.3149219751358032,4.27244758605957,8.764097213745117,0.9997846484184265,,4.046072483062744,,,,,16.534713745117188,1.498725414276123,1.4723201990127563,,63.914676666259766
2004-01-21 00:00:00+00:00,0.5770815014839172,0.721031665802002,1.32175874710083,4.3463568687438965,8.776002883911133,1.0061122179031372,,4.037286281585693,,,,,16.9990291595459,1.4611231088638306,1.463709831237793,,64.81278228759766
2004-01-22 00:00:00+00:00,0.5828331708908081,0.7177081108093262,1.3194798231124878,4.303717136383057,8.819643020629883,1.0029484033584595,,4.085610866546631,,,,,16.81846046447754,1.4503792524337769,1.463709831237793,,65.71088409423828
2004-01-23 00:00:00+00:00,0.5828331708908081,0.7253328561782837,1.32175874710083,4.309402942657471,8.811705589294434,0.9934570789337158,,4.072430610656738,,,,,16.89584732055664,1.4557515382766724,1.4551000595092773,,65.86054992675781
2004-01-26 00:00:00+00:00,0.5809159278869629,0.7194676995277405,1.3194798231124878,4.2866597175598145,8.779967308044434,0.9934570789337158,,4.103183269500732,,,,,17.36016082763672,1.5094687938690186,1.4493598937988281,,65.86054992675781
2004-01-27 00:00:00+00:00,0.5732471942901611,0.7063685655593872,1.305807113647461,4.246864318847656,8.823610305786133,1.021931529045105,,4.147113800048828,,,,,17.23118782043457,1.5255838632583618,1.4608399868011475,,66.01025390625
2004-01-28 00:00:00+00:00,0.5770815014839172,0.7116472721099854,1.3285956382751465,4.27244758605957,8.831543922424316,1.0092765092849731,,4.243763446807861,,,,,17.308568954467773,1.5309559106826782,1.4665800333023071,,65.86054992675781
2004-01-29 00:00:00+00:00,0.575164258480072,0.7253328561782837,1.3194798231124878,4.263919353485107,8.720454216003418,1.0061122179031372,,4.186652660369873,,,,,17.437543869018555,1.4664944410324097,1.4436198472976685,,65.56120300292969
2004-01-30 00:00:00+00:00,0.575164258480072,0.7182946801185608,1.3194798231124878,4.2497076988220215,8.65697956085205,0.9902932643890381,,4.125148773193359,,,,,17.308568954467773,1.44500732421875,1.4177898168563843,,65.11214447021484
2004-02-02 00:00:00+00:00,0.588584840297699,0.7206405997276306,1.337711215019226,4.263919353485107,8.688718795776367,0.9744740128517151,,4.186652660369873,,,,,17.15380096435547,1.4262057542800903,1.4206598997116089,,65.41150665283203
